商品名称,商品价格,评论总数,好评率,评论热词,商品id
京东超市联想（Lenovo）小新Pro14 标压锐龙版 高性能全面屏轻薄笔记本电脑 R5-5600H 16G 512G 2.2K屏,4846.0,2000,0.97,"轻薄精巧,方便快捷,反应灵敏,小巧易携,运行超快,倍感舒适,做工一流,质量上乘,稳定性佳,声音清亮,手感舒适",10027964620667
联想小新Pro16 2021新品高性能轻薄本16英寸锐龙R7八核全面屏笔记本电脑 R7-5800H 16G 512G丨标配 2.5K高清屏 WiFi6,6199.0,20000,0.99,"反应灵敏,流畅度佳,时尚大气,十分大气,轻薄精巧,运行超快,手感一流,方便快捷,散热超快,倍感舒适,质量上乘",10027678241575
京品电脑联想小新Air14 2021锐龙R5(全新7nm)六核超轻薄笔记本电脑 学生办公设计游戏高色域轻薄本 标配【R5 5500U 16G内存 512G固态】,4999.0,20000,0.97,"运行速快,轻薄精巧,反应灵敏,运行超快,小巧可爱,方便快捷,十分大气,散热超快,简单方便,功能齐全,超长续航",27631654906
联想ThinkPad T14 工程设计专业本 14英寸办公笔记本电脑 锐龙 R7 Pro-4750U  16G内存 512G固态硬 0ECD标配,6999.0,100,1.0,"小巧玲珑,十分流畅,倍感舒适,轻薄易携,超长待机,颜值颇高",10023323664013
联想笔记本ThinkBook 15p 英特尔酷睿i7 15.6英寸高性能轻薄本 设计师(十代i7标压 16G 512G GTX1650Ti 4K屏),8499.0,10000,0.94,"运行快速,时尚大气,运行超快,轻薄精巧,色彩出众,质量上乘,亮度均匀,功能强大,办公足够,柔软顺滑,简单方便",100018778116
宏碁(Acer)非凡S3X轻薄本 14英寸高色域游戏办公笔记本电脑 雷电4（11代酷睿i7 16G 512G 锐炬4G独显）松石蓝,5299.0,2000,0.94,"颜值颇高,轻薄精巧,反应灵敏,时尚大气,运行超快,十分流畅,功能齐全,识别灵敏,读写迅速,超长续航,方便快捷",100017815920
京品电脑小米 Redmi G 轻薄游戏本 16.1英寸 (第十代英特尔酷睿i5-10200H 16G 512G PCIe GTX 1650Ti 100%sRGB),5299.0,100000,0.93,"运行稳定,反应灵敏,运行超快,十分大气,简约时尚,倍感舒适,尺寸合适,方便快捷,简单方便,按键舒服,网速极佳",100016100794
联想小新15 2021锐龙版 15.6英寸Pro全面大屏高性能超轻薄办公游戏笔记本电脑 六核新R5-5500U 16G 512G固态 推荐 IPS屏数字小键盘 送office办公套装 深空灰,4999.0,10000,0.99,"运行稳定,运行超快,反应灵敏,时尚大气,方便快捷,轻薄精巧,尺寸合适,手感一流,散热超快,超长续航,功能强大",10029444786539
京东超市联想（Lenovo）小新Air14 2020英特尔酷睿 14英寸全面屏高性能轻薄笔记本电脑 i5-1035G1 16G 512G固态MX350,5066.0,2000,0.94,"时尚大气,小巧玲珑,轻薄精巧,反应灵敏,运行超快,散热超快,简单方便,灵敏度佳,质量上乘,功能强大,十分流畅",10026209794684
Apple MacBook Pro 13.3 新款八核M1芯片 16G 256G SSD 深空灰 笔记本电脑 轻薄本 Z11B,11199.0,20000,0.94,"运行稳定,运行速快,轻薄精巧,纯正艳丽,做工一流,节能降耗,质量上乘,操作简单,声音清亮,办公足够,毫无异味",100009536763
京品电脑惠普（HP）战66 四代 15.6英寸轻薄笔记本电脑（i5-1135G7 16G 512G  高色域  一年上门+意外 2年电池）,4799.0,100000,0.94,"运行速快,反应灵敏,十分大气,运行超快,简洁大方,轻薄精巧,方便快捷,倍感舒适,运行安静,质量上乘,简单方便",100008893803
ROG冰刃4 十代酷睿i7 15.6英寸液金导热300Hz电竞高色域轻薄游戏笔记本电脑(i7-10875H 16G 1TSSD RTX2070S),14999.0,2000,0.97,"外型帅气,十分流畅,反应灵敏,饱和度高,轻薄精巧,流畅度佳,倍感舒适,质量上乘,按键舒服,外观酷炫,调节方便",100007495643
机械师（MACHENIKE）逐空T58进阶版15.6英寸2021新款游戏本笔记本电脑（i7-11800H 16G 512G RTX3050 144Hz）,6589.0,10000,0.97,"运行稳定,反应灵敏,十分流畅,十分大气,倍感舒适,十分酷炫,轻薄易携,散热超快",100021567676
京品电脑华硕(ASUS)天选2 15.6英寸游戏笔记本电脑(新锐龙 7nm 8核R7-5800H 16G 512G RTX3060 240Hz 100%sRGB)日蚀灰,8299.0,20000,0.98,"运行稳定,十分大气,反应灵敏,运行超快,大气稳重,倍感舒适,做工一流,质量上乘,方便快捷,运行安静,毫不刺眼",100010367173
联想（Lenovo）IdeaPad15S 增强版2020酷睿i3轻薄本商务办公学生手提超薄笔记本电脑 英特尔十代酷睿四线程i3-10110U 8GB内存 512GB固态 银色丨旗舰傲腾,3699.0,20000,0.94,"十分大气,轻薄精巧,反应灵敏,方便快捷,简洁大方,运行超快,散热超快,质量上乘,流畅度佳,运行安静,超长待机",69930253491
联想笔记本电脑ThinkBook14 2021款 轻薄本14英寸商务办公笔记本学生游戏设计手提电脑 i7-1165G7 独显 高色域 @08CD 40G内存 512G+1TB双固态 定制,8799.0,83,0.96,,10028307469950
RedmiBook Pro 14 轻薄本(11代酷睿i5-11300H 16G 512G PCIE 锐炬显卡 2.5K全面屏) 红米小米笔记本电脑,4749.0,10000,0.94,"方便快捷,简洁大方,运行超快,手感一流,倍感舒适,简单方便,尺寸合适,高端大气,十分流畅,反应灵敏,散热超快",100021105206
惠普（HP）光影精灵7 Victus锐龙版游戏本 16.1英寸暗影AMD暗夜2021笔记本电脑 新六核 R5-5600H/GTX1650-4G 16G 512G PCIE【官方标配】 16.1英寸 陨,5899.0,77,1.0,"时尚大气,运行快速,轻薄精巧,做工一流,十分流畅,质量上乘,辨识度高",10031924348666
联想(Lenovo)拯救者Y7000 英特尔酷睿i5 15.6英寸游戏笔记本电脑(i5-10200H 16G 512G GTX1650 100%sRGB),5999.0,200000,0.96,"运行稳定,十分大气,时尚大气,十分流畅,质量上乘,做工一流,散热超快,简单方便,倍感舒适,方便快捷,效果惊艳",100014929000
联想YOGA 13s 2021款 锐龙版 13.3英寸全面屏超轻薄笔记本电脑(6核 R5-5600U 16G 512G 2.5K高色域屏)深空灰,5299.0,100000,0.94,"轻薄精巧,小巧玲珑,方便快捷,做工一流,运行超快,手感一流,简单方便,运行安静,倍感舒适,节能降耗,手感舒适",100022002312
联想拯救者R9000P 2021款16英寸满血版RTX3060电竞游戏笔记本电脑锐龙R7-5800H 16G内存 512G高速固态 标配版 165Hz 100%sRGB 专业电竞屏,11699.0,20000,0.98,"反应灵敏,十分大气,十分流畅,运行超快,简洁大方,散热超快,流畅度佳,十分酷炫,方便快捷,质量上乘,倍感舒适",10028558177307
京东超市华硕（ASUS）VivoBook15X 英特尔酷睿 新品15.6英寸轻薄本笔记本电脑 高色域 银色 11代i7 16G 512G 2G独显,5799.0,65,1.0,"运行超快,十分大气,尺寸合适,运行快速",10031131765301
机械革命（MECHREVO）Z3 Air 11代八核 15.6英寸轻薄游戏笔记本电脑（i7-11800H 16G 512G RTX3050Ti）,6799.0,20000,0.93,"质量上乘,高端大气,做工一流,反应灵敏",100011431727
联想ThinkPad X13 2021款 英特尔Evo平台 13.3英寸轻薄笔记本电脑 i5-1135G7/16G/512G/6ECD WIFI6+4G/2.5K,8499.0,5000,0.99,,10029958563910
联想(Lenovo)拯救者R7000P 2021 15.6英寸游戏笔记本电脑(新锐龙 6核 R5-5600H 16G 512G RTX3050Ti 165Hz)黑,6699.0,200000,0.95,"运行稳定,散热超快,流畅度佳,十分大气,做工一流,反应灵敏,低调奢华,倍感舒适,柔软顺滑,简单方便,运行安静",100021965328
【酷睿i5+指纹】2021新款15.6英寸笔记本电脑轻薄便携大学生超薄手提游戏本办公商务超级本标逸 银色 【i5尊享1】8G内存+128G固态,2599.0,100,0.95,"反应灵敏,十分大气,灵敏度佳,轻薄精巧,做工一流,流畅度佳,散热超快,功能齐全,质量上乘",10029024165691
VAIO FH14 侍14 11代酷睿14英寸 1.4Kg 4G独显 高性能轻薄笔记本电脑(i7 16G 512G SSD GTX1650Ti FHD)铂金银,6496.0,2000,0.95,"十分大气,散热超快,纯正艳丽,轻薄精巧,运行超快,反应灵敏,流畅度佳,倍感舒适,运行安静,使用顺手,网速极佳",100008806617
"惠普（HP）星14青春版 轻薄笔记本电脑14英寸男女超薄学生网课办公 11代酷睿新品 i3-1115G4 预装office 14.0""银 【店长推荐】8G 256GPCIE固态",3699.0,10000,0.97,"运行超快,十分大气,轻薄精巧,反应灵敏,方便快捷,尺寸合适,散热超快,简单方便,十分流畅,质量上乘,触感一流",25613387106
联想小新15 2021款11代酷睿i5/i7高性能大屏设计轻薄学生游戏笔记本电脑手提办公 标配：i5-1135G7 16G 512G SSD MX450高性能显卡 银色,5999.0,2000,0.95,"运行稳定,反应灵敏,十分流畅,十分大气,方便快捷,轻薄精巧,散热超快,美观大方,手感一流,质量上乘,倍感舒适",66990247113
联想小新Pro14 2021款 金属超轻薄笔记本电脑 高色域全面屏 标压11代酷睿i5-11300H 16G内存 512G固态 标配  2.2K超高清 低蓝光护眼IPS屏｜人脸识别,5699.0,20000,0.98,"运行稳定,轻薄精巧,十分大气,运行超快,方便快捷,简洁大方,散热超快,倍感舒适,超长续航,办公足够,手感一流",10027973066259
联想ThinkPad E14 2021款 酷睿版 英特尔酷睿i7 14英寸轻薄笔记本电脑(i7-1165G7 8G 512G 100%sRGB)银,5899.0,100000,0.93,"质量上乘,时尚大气,低调奢华,音效超棒,轻薄精巧",100010013939
华硕(ASUS) 飞行堡垒9丨飞行堡垒8英特尔酷睿i5丨i7 15.6英寸游戏笔记本电脑 i5-10300H丨GTX1650丨144Hz 8G内存/512G固态/官标一,5499.0,5000,0.98,"十分大气,反应灵敏,运行超快,流畅度佳,外型帅气,方便快捷,做工一流,手感一流,倍感舒适,效果惊艳,散热超快",70171686928
【新品十代i5 i7处理器】15.6英寸高性能学生游戏本 笔记本电脑 快速者Z18商务办公独显轻薄本 英特尔4405U+MX130独显 8G内存+128G固态硬盘,2799.0,2000,0.98,声音清亮,10031883683696
京东超市宏碁(Acer)暗影骑士·擎笔记本电脑 15.6英寸144Hz电竞屏512G硬盘高色域游戏本独立显卡 i5-10300H-16G-1650Ti-4G显卡,5999.0,2000,0.94,"反应灵敏,散热超快,运行超快,运行安静,运行快速,功能强大,外观酷炫,小巧轻便,帅气炫酷,调节方便,轻薄精巧",10025261785294
联想小新Air15 2021超轻薄笔记本电脑 高色域学生办公设计师游戏本 八核锐龙R7-5700U 16G内存 1TB固态 升级15.6英寸IPS全面屏【DC调光护眼无闪烁】,6099.0,50000,0.98,"运行速快,十分大气,反应灵敏,轻薄精巧,运行超快,简洁大方,方便快捷,散热超快,倍感舒适,简单方便,质量上乘",33950552703
【2021新款】惠普(HP)暗影精灵7 新十一代酷睿i7 16.1英寸吃鸡光影电竞游戏设计笔记本电脑 旗舰版：i7-11800H 16G 512G固态 RTX3050Ti 4G光追独显|100%高色域,7999.0,1000,0.99,"十分流畅,运行超快",30496841168
京品电脑联想笔记本电脑ThinkPad X1 Carbon 2021款 英特尔Evo平台 14英寸 11代酷睿i7 16G 1T 高色域 /4G全时互联,13999.0,5000,0.96,"运行稳定,轻薄精巧,散热超快,运行超快,质感一流,做工一流,手感一流,质量上乘,超长续航,运行安静,柔软顺滑",100020822580
联想ThinkPad E14 十一代英特尔酷睿i5轻薄本商务办公学习游戏窄边框ibm手提笔记本电脑 06CD@MX450独显 i7-1165G7 16GB内存 512GB固态硬盘【定制】,6999.0,100,1.0,,10032276178031
机械革命(MECHREVO)Z3 Pro 15.6英寸轻薄电竞游戏笔记本电脑(i7-11800H 16G 512G RTX3060 165Hz 2K),9499.0,20000,0.93,"手感一流,十分大气,色彩出众,反应灵敏,流畅度佳,外观酷炫,运行安静,柔软顺滑,轻薄精巧,运行超快,运行快速",100011431717
京东超市2021款锐炬显卡高性能学生游戏超小新轻薄本14英寸全面屏设计师办公商务手提笔记本电脑 11代旗舰标配i5-1135G7 8G 512G 锐炬显卡 背光键盘 防眩光屏WiFi6 ...,5299.0,500,0.97,"时尚大气,十分大气,运行安静,轻薄精巧,运行快速,运行超快,质量上乘,功能强大,毫不刺眼,办公足够,倍感舒适",10028554303655
联想(Lenovo)YOGA 14c 2021款 锐龙版 14英寸全面屏超轻薄笔记本电脑(8核 R7-5800U 16G 512G 翻转触控)灰,6499.0,71,1.0,"方便快捷,超长续航,小巧轻便,轻薄精巧,音效超棒,运行安静,办公足够,背光酷炫,系统充足,调节方便",100022195792
京东超市联想（Lenovo）小新Air14 2021款 14英寸全面屏超轻薄笔记本电脑 i5-1135G7 16G 512G MX450 100%sRGB高色域,5366.0,5000,0.9,"轻薄精巧,十分大气,方便快捷,小巧可爱,运行超快,散热超快,流畅度佳,简单方便,手感一流,功能齐全,倍感舒适",10022950267080
神舟战神Z7M/Z8/G8 11代i5/i7/RTX3050Ti/3060电竞独显游戏笔记本手提电脑 Z7-TA5NA 六核i5/8G/RTX3050,5999.0,50000,0.97,"运行稳定,反应灵敏,游戏性能强,十分大气,霸气侧漏,简洁大方,方便快捷,倍感舒适,质量上乘,手感一流,功能强大",32114127141
海尔（Haier）15.6英寸 酷睿i 轻薄商务远程办公游戏上网 窄边框笔记本手提电脑 金属轻薄本 定制J: i5-5257U 16G 256G固态,3699.0,90,0.97,"均匀明亮,设计超赞,运行超快",10023376950088
机械革命（MECHREVO）Z3 Air 11代六核 15.6英寸轻薄游戏笔记本电脑(i5-11400H 16G 512G RTX3050 100%sRGB),5799.0,20000,0.93,"轻薄精巧,运行稳定,时尚大气,运行快速",100021647722
机械师（MACHENIKE）逐空T58-V 15.6英寸2021新款游戏本笔记本电脑（6核i5-10500H 16G 512G GTX1650 4G）,4989.0,10000,0.97,"十分大气,十分酷炫,轻薄精巧,运行超快,运行快速",100020923596
联想拯救者R7000P 2021款15.6英寸满血版RTX3060游戏笔记本电脑锐龙R7-5800H 16G内存 512G高速固态 标配版 165Hz 100%sRGB 专业电竞屏,9999.0,10000,0.97,"反应灵敏,游戏性能强,运行超快,十分大气,美观大方,简洁大方,质量上乘,方便快捷,超长续航,简单方便,功能强大",10028536128184
小米红米RedmiBook Pro15英寸锐龙版 3.2K 90Hz超视网膜全面屏笔记本电脑（6核R5-5600H集成显卡16GB512GB ）,4999.0,20000,0.93,"十分大气,做工一流,轻薄精巧,反应灵敏,十分流畅,倍感舒适,方便快捷,运行超快,办公足够,简单方便,效果惊艳",100021942376
京东超市2021旗舰锐龙版高性能学生游戏超小新轻薄本14英寸全面屏设计师办公商务手提笔记本电脑 6核12线程R5-4600U 16G 512G固态 背光键盘100％高色域 WiFi6 虹光银,5399.0,500,0.98,"简洁大方,轻薄精巧,运行超快,高端大气,方便快捷,超长待机,运行速快,质量上乘,倍感舒适,运行安静,调节方便",10028353871728
联想笔记本 ThinkPad E15 E14 2021款 11代轻薄本 IBM办公学习游戏笔记本电脑 E15 i5-1135G7 锐炬Xe核显 1SCD 16G内存 1TB固态硬盘,5999.0,500,0.99,"十分流畅,倍感舒适",10026192640614
联想小新Pro14 2021高端新款轻薄本14英寸高色域全面屏锐龙R5六核金属机身轻薄手提笔记本电脑 六核R5-5600H 16G 512G｜标配 2.2K超清屏 人脸识别开机,5799.0,10000,0.99,"运行稳定,反应灵敏,十分大气,运行超快,轻薄精巧,做工一流,散热超快,方便快捷,质量上乘,倍感舒适,超长待机",10027677818775
联想YOGA Pro13s 2021款小新高端超轻薄商务办公笔记本电脑大学生设计师手提本13.3英寸 精装11代i5-1135G7 16G 1TB 固态  2.5K 100%高色域屏 碳纤维材质  冰,7899.0,37,1.0,轻薄精巧,10025571511991
拍拍【二手9成新】联想（ThinkPad) T420/T430/T450s 14寸1G独显笔记本电脑 (2) 抢手款i5 8G 128G固态运行快,999.0,20000,0.96,"物超所值,物流极速,服务一流,包装用心,高端上档次,尺寸适宜,色彩靓丽,尺寸够大,真材实料,做工一流",35609855268
京品电脑机械革命（MECHREVO）S2 Air 14英寸(R5-4600H 16G 512G SSD 高色域)AMD锐龙版轻薄笔记本电脑 银,4599.0,20000,0.93,"轻薄精巧,运行超快,小巧玲珑,十分大气,简单方便,流畅度佳,办公足够,倍感舒适,超长续航,饱满鲜艳,质量上乘",100013429878
【2021新款】联想ThinkPad E15商务办公15.6英寸学生轻薄笔记本电脑设计师便携手提电脑 标配 i5-1135G7 16G内存 512G固态 窄边框 100%sRGB色域 @1SCD,5699.0,1000,0.99,"运行超快,十分大气,尺寸合适,毫不刺眼,轻薄精巧,方便快捷,网速极佳,够大够清晰,质量上乘,简单方便,毫不累眼",10029653679914
戴尔（DELL）灵越游匣 G3/G5 3500 15.6英寸窄边框轻薄标压学生电竞游戏本笔记本电脑 i5-10200H 1650电竞屏120Hz 8GB内存 512G PCIe固态 无机械 定制,5699.0,10000,0.98,"反应灵敏,时尚大气,运行超快,简洁大方,手感一流,质量上乘,十分酷炫,运行安静,流畅度佳,运行快速,散热超快",67410389170
戴尔(DELL)全新2021游匣G15 15.6英寸窄边框电竞游戏笔记本电脑(i5-10200H 16G 512G RTX3050 120Hz)耀夜黑,5999.0,50000,0.93,"运行快速,运行速快,做工一流,运行超快,手感一流,质量上乘,倍感舒适,十分酷炫,毫无异味",100020923594
华硕(ASUS) 灵耀14龙王驾到 超轻薄14英寸办公笔记本电脑(R7-4700U 16G 512GSSD 100%sRGB 人脸识别)山川黛,5299.0,20000,0.91,轻薄精巧,100008952151
笔记本电脑轻薄超级本 学生网上课堂电脑 远程办公本 得峰电脑 2021款十代全尺寸黑键盘J4125/12G内存 SSD256G高速M2固态高档蓝牙鼠标套餐,1699.0,50000,0.97,"反应灵敏,十分大气,做工一流,运行超快,颜值颇高,十分流畅,质量上乘,运行安静,手感一流,方便快捷,网速极佳",45844182121
雷神(ThundeRobot) 911Air星战四代 15.6英寸游戏笔记本电脑(十一代八核i7-11800H 8G 512GSSD RTX3050Ti) ,5899.0,20000,0.95,"十分流畅,流畅度佳,细腻光滑,做工一流,运行超快,散热超快",100011431719
戴尔笔记本电脑dell灵越14-5405 14英寸全高清防眩光轻薄商务笔记本电脑(AMD R5-4500U 16G 512GSSD),4499.0,5000,0.92,"时尚大气,运行良好,运行快速,小巧玲珑,方便快捷,办公足够,轻薄精巧,十分流畅,质量上乘,毫不刺眼",100018838168
【教育优惠】Apple MacBook Pro 13.3 新款八核M1芯片 8G 256G SSD 深空灰 笔记本电脑 轻薄本 MYD82CH/A,9199.0,1000,0.97,"质量上乘,简单大方,反应灵敏,简洁大方,十分流畅,运行超快",100009554931
京品电脑微星(msi)侠客GF63 15.6英寸轻薄窄边框游戏笔记本电脑(十代i5 16G 512G SSD GTX1650Ti MQ 144Hz电竞屏),4999.0,10000,0.95,"运行稳定,流畅度佳,十分大气,外型帅气,做工一流,运行安静,倍感舒适,电影神器,质量上乘,办公足够,背光酷炫",100017912200
惠普（HP）光影精灵6/7 暗夜暗影电竞游戏笔记本电脑旗舰店官网【2021款】【出7制胜】 i5-10200H GTX1650Ti-4G 电竞 16G 512G PCIE【2021V榜推荐】 15.6,5399.0,10000,0.98,"运行稳定,反应灵敏,十分大气,游戏性能强,运行超快,十分酷炫,倍感舒适,纯正艳丽,质量上乘,简单方便,方便快捷",69182877976
彐星（XUEXING）15.6英寸超薄笔记本电脑 商务便捷超级本 学生网上课堂远程办公电脑 银白intel-J3455/8G/128G固态,1499.0,200,0.98,"反应灵敏,简约时尚,散热超快,十分大气,流畅度佳,运行超快,轻薄精巧,功能强大,方便快捷,网速极佳,简单方便",71468392650
惠普（HP）暗影精灵6/7代Pro 官方电竞游戏本 光影暗夜plus笔记本电脑RTX3070可选 【暗影7】新i7/RTX3050Ti/100%色域 进阶二：16G/512G PCIE【V榜热选】,7899.0,20000,0.98,"运行速快,时尚大气,大气稳重,运行超快,轻薄精巧",33283328430
2021款 联想威6-14英寸 11代酷睿i5-1135G7高性能办公娱乐游戏学生轻薄便携笔记本电脑 标配：i5-1135G7 8G内存 512G固态 锐炬Xe核芯显卡 金属机身 指纹解锁,4799.0,1000,1.0,"高端大气,运行超快",44260927463
京东超市华硕(ASUS)灵耀X2 Duo英特尔酷睿十代 14英寸智慧双屏创意设计轻薄笔记本电脑 翡翠玉 i7-10510U 16G 1T固态 2G独显,8489.0,1000,0.94,"外型帅气,十分流畅,简约时尚,运行超快,方便快捷,质量上乘,倍感舒适,尺寸合适,运行速快,结实耐用,操作方便",10025702053908
联想ThinkPad X13 2021(6ECD)英特尔Evo平台 13.3英寸轻薄笔记本电脑(i5-1135G7 16G 512G 2.5K)4G版,8799.0,1000,0.96,"反应灵敏,倍感舒适,轻薄精巧,手感一流,简洁大方,手感舒适,纯正艳丽,运行超快,顺滑流畅,稳定性佳,运行安静",100011127071
ROG幻14 轻薄高性能14英寸2K屏游戏本笔记本电脑(锐龙R9-4900HS 8核 7nm 16G 1TSSD RTX2060MaxQ)星空白,9999.0,10000,0.97,"外型酷炫,反应灵敏,轻薄精巧,流畅度佳,精致美观,运行超快,质量上乘,倍感舒适,方便快捷,轻便好用,可玩性高",100013565062
荣耀笔记本电脑MagicBook Pro旗舰版全面屏轻薄本超薄本学生商务办公15.6英寸网课本超级本 Pro银|酷睿i5/16G/512固态/2G独显 100%sRGB 高色域,5099.0,5000,0.98,"反应灵敏,十分流畅,精致小巧",69777089114
惠普（HP）光影精灵6 酷睿处理器 暗夜暗影精灵6pro 15.6英寸设计电竞游戏笔记本电脑 i5/16G/1650 /512G,5299.0,5000,0.98,"十分大气,运行快速,十分流畅,十分酷炫,简洁大方,倍感舒适,毫不刺眼,方便快捷",40929837239
14英寸小新品轻薄手提商务游戏学生网课笔记本电脑设计本 标配丨i3-1115G4 8G内存 256G固态 锐炬显卡 IPS全高清屏 指纹解锁 精装升级 银色,3389.0,10000,0.94,"十分大气,时尚大气,轻薄精巧,反应灵敏,质量上乘,流畅度佳",10026933866200
拍拍【准新机未拆封】MacBook Air/Pro 2019/18/20款二手家用 办公苹果笔记本电脑 18款Air金色8G+128G EE2【官方在保】 未拆封-【原封带原装配件】,5099.0,1000,0.97,"价格实惠,包装用心,色彩靓丽,方便携带,真材实料,做工一流,服务一流",10022770140215
京东超市联想(lenovo)威6 2021新款锐龙超轻薄笔记本电脑 14英寸高性能学生办公设计游戏本 标配六核锐龙R5-4500U 8G 512G固态 满血显卡 全高清屏 虹光银,4699.0,90,1.0,"运行速快,简单方便,运行超快,小巧玲珑,精致美观,做工一流",10030128250573
微星(msi)冲锋坦克Pro GP76 17.3英寸游戏本笔记本电脑(第11代英特尔酷睿i7-11800H 16G 1T RTX3070 240Hz),13599.0,5000,0.92,"玩游戏必备,沉稳大气,十分流畅,系统充足,低调奢华,功能强大,高端大气,流畅度佳,运行超快",100021406600
华硕（ASUS）2021款adolbook14s增强版 11代英特尔酷睿 14英寸金属轻薄笔记本电脑 森林绿丨i5-1135G7丨2G独显丨14英寸 16G内存丨1T固态丨送office丨雷电4丨定制,5799.0,500,0.95,运行超快,70454221283
荣耀笔记本电脑MagicBook Pro 16.1英寸轻薄本手提商务办公超极本华为多屏协同 银｜R5-4600H 16G 512G 集显 标配,4199.0,5000,0.98,"时尚大气,运行超快,轻薄精巧,纯正艳丽,运行速快,流畅度佳,散热超快,倍感舒适,方便快捷,手感一流,网速极佳",71987001570
拍拍【二手9成新】联想（Thinkpad）X230 12.5英寸 轻薄便携商务办公二手笔记本电脑 ibm 2】X230 i5 8G 120G固态 热推抢手款,1398.0,20000,0.97,"物超所值,物流极速,服务一流,包装用心,方便携带,色彩靓丽,款式一流,质感一流,尺寸适宜,做工一流",22298647726
联想ThinkPad X13 超薄笔记本电脑13.3英寸高性能轻薄商务办公手提电脑窄边框设计ibm 定制R7-4750U 16G 1T固态@0ACD 指纹解锁 FHD高清屏,6299.0,200,0.98,运行速快,10030715881342
外星人ALIENWARE 2021款全新m17R4 17.3英寸高端电竞游戏本 英特尔8核i7 16G 1T RTX3070独显 360Hz 6745 白,21999.0,5000,0.94,"十分酷炫,流畅度佳,简洁大方,十分流畅,十分大气,手感一流,倍感舒适,质量上乘,简单方便,柔软顺滑",100018512420
联想(Lenovo)拯救者R7000 锐龙R7八核芯高性能游戏本p 15.6英寸高色域吃鸡笔记本电脑 旗舰丨R7-4800H 16G内存 512G固态 GTX1650 4G电竞显卡,6599.0,20000,0.97,"运行稳定,运行超快,反应灵敏,十分大气,质量上乘,做工一流,散热超快,外型酷炫,手感一流,倍感舒适,运行安静",10026335426323
【2021新品】联想V15 15.6英寸11代酷睿i5 轻薄办公笔记本电脑 学生网课超极本 锐巨显卡 定制：I5-1135G7 16G内存 512G固态 win10,4599.0,2000,0.99,"运行快速,高清护眼,简洁大方",48227520506
京品电脑惠普（HP）战99-E1 15.6英寸 设计师本 工作站 笔记本电脑（i7-10750H 16G 1T SSD 4G独显 高色域 Win10H）,8999.0,5000,0.95,"十分大气,运行超快,反应灵敏,美观大方,方便快捷,简洁大方,十分流畅,倍感舒适,功能强大,质量上乘,运行安静",100009021915
戴尔（DELL）灵越5409灵越5000学生网课5310轻薄游戏办公笔记本女14英寸超极本手提电脑 14Pro i5/16G/512G/背光版 薄荷银,4599.0,5000,0.97,"运行稳定,反应灵敏,十分大气,轻薄精巧,运行超快,方便快捷,简洁大方,散热超快,简单方便,倍感舒适,功能齐全",55286544724
15.6英寸超轻薄本 笔记本电脑办公超级本 云电脑远程手提 学生上网课堂电脑 高速固态硬盘 天宝电脑 四核CPU 8G内存 128G固态硬盘 内置云电脑系统,1436.0,10000,0.96,"十分大气,轻薄精巧,反应灵敏,运行超快,十分流畅,简洁大方,简单方便,办公足够,散热超快,质量上乘,网速极佳",17928948059
戴尔DELL灵越15Pro-5518 15.6英寸高色域防蓝光轻薄商务笔记本电脑标压i5-11300H 16G 512G 100%sRGB银,5999.0,50000,0.93,"简洁大方,运行超快,便于携带,启动快速,做工一流,毫不刺眼,运行快速",100020733680
联想拯救者R7000P 2021款八核15.6英寸电竞屏RTX3060独显轻薄手提吃鸡游戏笔记本电脑 8核R7-5800H 16G 512G固态丨标配 RTX3060 6G独显,9899.0,5000,0.99,"运行速快,低调奢华,运行超快",10028977127573
联想笔记本 ThinkBook 14p AMD锐龙标压 2021款 14英寸高性能轻薄本电脑 全面屏 六核 R5-5600H 16G内存 512G固态 官方标配：16:10 2.2K高色域屏,5499.0,23,1.0,"流畅度佳,运行快速,超长续航",10032077989457
戴尔DELL灵越15Pro-5518 15.6英寸高色域防蓝光轻薄商务笔记本电脑标压i5-11300H 16G 512G MX450 100%sRGB银,6499.0,50000,0.93,"反应灵敏,简洁大方,时尚大气,运行超快,散热超快,轻薄精巧,简单方便,运行安静,毫不累眼,十分流畅,功能齐全",100020733690
海尔(Haier)逸15-3S 轻薄商务学习办公笔记本（i3-10110U 8G 512G SSD Win 10),2999.0,20000,0.95,"简单方便,运行超快,反应灵敏,流畅度佳,简单大方,使用顺手,办公足够,细腻光滑,轻薄精巧,方便快捷",100018599976
联想(Lenovo)小新Pro14 2021新品 14英寸锐龙R7八核标压 全面屏超轻薄笔记本电脑  标配丨R7-5800H 16G+512G固态,6199.0,200,0.97,"尺寸合适,轻薄精巧,简约时尚,方便快捷,十分流畅,手感一流,质量上乘,功能强大,放心使用,流畅度佳,运行超快",10028608514664
拍拍【二手95新】Apple MacBook Air 二手苹果笔记本电脑超轻薄便携商务本13.3英寸 i5-8G/128G-13寸-GF2【2016】,3099.0,5000,0.98,"物流极速,价格实惠,物超所值,服务一流,方便携带,色彩纯正,做工一流,设计一流",10022886428493
联想拯救者R7000P 2021款15.6英寸RTX3050Ti游戏笔记本电脑锐龙R7-5800H 16G内存 512G高速固态 标配版 165Hz 100%sRGB 专业电竞屏,8199.0,100,0.98,"简约时尚,高端大气",10031492949348
